team,team_slug,league,football_season,season_type,season_type_name,event_id,event_name,short_name,game_datetime_utc,game_datetime_pacific,game_date_pacific,kickoff_time_pacific,time_valid,week,home_away,opponent_id,opponent,opponent_abbreviation,team_score,opponent_score,result,completed,status,neutral_site,venue,venue_city,venue_state,broadcasts,notes,source_url
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404036,California Golden Bears at Oregon State Beavers,CAL @ ORST,2022-11-13T02:00:00+00:00,2022-11-12T18:00:00-08:00,2022-11-12,18:00,True,11,home,25,California Golden Bears,CAL,38,10,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401435638,Seattle Seahawks at Tampa Bay Buccaneers,SEA VS TB,2022-11-13T14:30:00+00:00,2022-11-13T06:30:00-08:00,2022-11-13,06:30,True,10,away,27,Tampa Bay Buccaneers,TB,16,21,L,True,Final,True,Allianz Arena,Munich,,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404040,Oregon State Beavers at Arizona State Sun Devils,ORST @ ASU,2022-11-19T19:15:00+00:00,2022-11-19T11:15:00-08:00,2022-11-19,11:15,True,12,away,9,Arizona State Sun Devils,ASU,31,7,W,True,Final,False,Mountain America Stadium,Tempe,AZ,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404043,Utah Utes at Oregon Ducks,UTAH @ ORE,2022-11-20T03:30:00+00:00,2022-11-19T19:30:00-08:00,2022-11-19,19:30,True,12,home,254,Utah Utes,UTAH,20,17,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404047,Oregon Ducks at Oregon State Beavers,ORE @ ORST,2022-11-26T20:30:00+00:00,2022-11-26T12:30:00-08:00,2022-11-26,12:30,True,13,away,204,Oregon State Beavers,ORST,34,38,L,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404047,Oregon Ducks at Oregon State Beavers,ORE @ ORST,2022-11-26T20:30:00+00:00,2022-11-26T12:30:00-08:00,2022-11-26,12:30,True,13,home,2483,Oregon Ducks,ORE,38,34,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437868,Las Vegas Raiders at Seattle Seahawks,LV @ SEA,2022-11-27T21:05:00+00:00,2022-11-27T13:05:00-08:00,2022-11-27,13:05,True,12,home,13,Las Vegas Raiders,LV,34,40,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437882,Seattle Seahawks at Los Angeles Rams,SEA @ LAR,2022-12-04T21:05:00+00:00,2022-12-04T13:05:00-08:00,2022-12-04,13:05,True,13,away,14,Los Angeles Rams,LAR,27,23,W,True,Final,False,SoFi Stadium,Inglewood,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437898,Carolina Panthers at Seattle Seahawks,CAR @ SEA,2022-12-11T21:25:00+00:00,2022-12-11T13:25:00-08:00,2022-12-11,13:25,True,14,home,29,Carolina Panthers,CAR,24,30,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437901,San Francisco 49ers at Seattle Seahawks,SF @ SEA,2022-12-16T01:15:00+00:00,2022-12-15T17:15:00-08:00,2022-12-15,17:15,True,15,home,25,San Francisco 49ers,SF,13,21,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
